Van,An,Binh,Chi,Dung,Em,Phong
0,10000.00,10000.00,10000.00,10000.00,10000.00,10000.00
100,9918.95,10100.00,9860.00,9950.00,10040.00,10131.05
200,9898.95,9840.00,9870.00,10020.00,10140.00,10231.05
300,9908.95,9940.00,9970.00,10090.00,9910.00,10181.05
400,9678.95,9890.00,10040.00,10130.00,10040.00,10221.05
500,9808.95,9960.00,9930.00,10350.00,9810.00,10141.05
600,9908.95,9985.00,9925.00,10270.00,9820.00,10091.05
700,10008.95,9875.00,9755.00,10295.00,10025.00,10041.05
800,10018.95,9615.00,9735.00,10185.00,10245.00,10201.05
900,10118.95,9745.00,9775.00,10135.00,10105.00,10121.05
1000,10008.95,9725.00,9905.00,10295.00,9935.00,10131.05
1100,10018.95,9825.00,9750.00,10380.00,9945.00,10081.05
1200,10043.95,9655.00,9880.00,10480.00,9895.00,10046.05
1300,9978.95,9545.00,9710.00,10580.00,9920.00,10266.05
1400,10078.95,9465.00,9810.00,10740.00,9660.00,10246.05
1500,9996.00,9477.95,9940.00,10840.00,9580.00,10166.05
1600,10036.00,9427.95,9950.00,11000.00,9410.00,10176.05
1700,9806.00,9527.95,10065.00,11010.00,9480.00,10111.05
1800,9756.00,9687.95,10045.00,10930.00,9370.00,10211.05
1900,9676.00,9757.95,9965.00,11000.00,9170.00,10431.05
2000,9626.00,9887.95,10125.00,10980.00,9060.00,10321.05
2100,9756.00,9807.95,10015.00,10960.00,9100.00,10361.05
2200,9946.00,9607.95,10025.00,11120.00,9020.00,10281.05
2300,9982.49,9557.95,9795.00,11130.00,9000.00,10534.57
2400,10019.92,9507.95,9867.57,11050.00,9040.00,10514.57
2500,9909.92,9697.95,9937.57,10910.00,8990.00,10554.57
2600,9919.92,9707.95,9947.57,10830.00,9090.00,10504.57
2700,9749.92,9717.95,9927.57,10840.00,9190.00,10574.57
2800,9669.92,9757.95,9847.57,10850.00,9260.00,10614.57
2900,9709.92,9707.95,9977.57,10890.00,9120.00,10594.57
3000,9749.92,9657.95,10227.57,10960.00,8920.00,10484.57
3100,9549.92,9757.95,10357.57,11210.00,8720.00,10404.57
3200,9259.92,9887.95,10277.57,11250.00,8790.00,10534.57
3300,9329.92,9897.95,10137.57,11170.00,8770.00,10694.57
3400,9549.92,9847.95,10087.57,11030.00,8720.00,10764.57
3500,9676.03,9797.95,10041.46,11130.00,8820.00,10534.57
3600,9566.03,9687.95,9931.46,11170.00,8950.00,10694.57
3700,9486.03,9487.95,9851.46,11330.00,9080.00,10764.57
3800,9316.03,9377.95,9921.46,11400.00,9150.00,10834.57
3900,9326.03,9447.95,9931.46,11230.00,9130.00,10934.57
4000,9486.03,9247.95,9911.46,11345.00,9170.00,10839.57
4100,9556.03,9167.95,10071.46,11295.00,8970.00,10939.57
4200,9589.00,9211.27,9871.46,11305.00,9043.70,10979.57
4300,9662.33,9337.95,10001.46,11285.00,8813.70,10899.57
4400,9610.52,9289.76,10131.46,11325.00,8733.70,10909.57
4500,9620.52,9359.76,10111.46,11275.00,8833.70,10799.57
4600,9690.52,9159.76,10121.46,11465.00,8903.70,10659.57
4700,9699.27,9261.00,10041.46,11535.00,8943.70,10519.57
4800,9735.00,9326.54,9871.46,11523.73,8893.70,10649.57
4900,9835.00,9246.54,9911.46,11593.73,8723.70,10689.57
5000,9932.63,9196.54,9891.46,11606.11,8703.70,10669.57
5100,10025.98,9243.19,9901.46,11676.11,8473.70,10679.57
5200,10065.98,9073.19,9941.46,11716.11,8363.70,10839.57
5300,10089.55,8813.19,9862.89,11711.11,8583.70,10939.57
5400,10219.55,8733.19,9962.89,11511.11,8623.70,10949.57
5500,10169.55,8653.19,10152.89,11431.11,8603.70,10989.57
5600,10059.55,8633.19,10132.89,11651.11,8553.70,10969.57
5700,9889.55,8433.19,10247.89,11631.11,8608.70,11189.57
5800,9989.55,8533.19,10347.89,11491.11,8438.70,11199.57
5900,10325.46,8438.19,10297.89,11441.11,8362.78,11134.57
6000,10575.46,8358.19,10367.89,11511.11,8192.78,10994.57
6100,10405.46,8278.19,10437.89,11551.11,8232.78,11094.57
6200,10505.46,8153.19,10267.89,11771.11,8167.78,11134.57
6300,10545.46,8268.19,10307.89,11751.11,8102.78,11024.57
6400,10615.46,8008.19,10257.89,11881.11,8172.78,11064.57
6500,10826.93,8082.46,10302.16,11921.11,8092.78,10774.57
6600,10746.93,8242.46,10192.16,12171.11,7982.78,10664.57
6700,10726.44,8492.46,9992.16,12241.11,7872.78,10675.05
6800,10676.44,8472.46,9912.16,12431.11,7852.78,10655.05
6900,10806.44,8392.46,9862.16,12411.11,7892.78,10635.05
7000,10814.06,8312.46,9932.16,12483.48,7782.78,10675.05
7100,10553.01,8292.46,9972.16,12524.54,7942.78,10715.05
7200,10623.01,8212.46,10072.16,12444.54,8072.78,10575.05
7300,10751.39,8072.46,10053.78,12334.54,8142.78,10645.05
7400,10821.39,8142.46,10093.78,12314.54,8152.78,10475.05
7500,11011.39,7972.46,9983.78,12384.54,8372.78,10275.05
7600,11079.01,7802.46,10053.78,12456.92,8292.78,10315.05
7700,10939.01,7782.46,10123.78,12526.92,8377.78,10250.05
7800,10829.01,7762.46,10013.78,12356.92,8537.78,10500.05
7900,10779.01,7892.46,9873.78,12351.92,8487.78,10615.05
8000,10879.01,7722.46,9883.78,12331.92,8527.78,10655.05
8100,11009.01,7762.46,10013.78,12251.92,8327.78,10635.05
8200,11259.01,7802.46,9843.78,12171.92,8127.78,10795.05
8300,11149.01,7752.46,10033.78,12181.92,8197.78,10685.05
8400,11189.01,7672.46,10013.78,12311.92,8177.78,10635.05
8500,11139.01,7562.46,10143.78,12201.92,8247.78,10705.05
8600,11208.33,7482.46,10243.78,12121.92,8107.78,10835.73
8700,11278.33,7282.46,10313.78,12281.92,8207.78,10635.73
8800,11374.06,7146.73,10353.78,12111.92,8157.78,10855.73
8900,11412.82,6976.73,10333.78,12061.92,8289.03,10925.73
9000,11302.82,7046.73,10163.78,12101.92,8149.03,11235.73
9100,11342.82,6966.73,10083.78,11991.92,8159.03,11455.73
9200,11382.82,7096.73,10003.78,11791.92,8259.03,11465.73
9300,11332.82,7226.73,9923.78,11711.92,8239.03,11565.73
9400,11492.82,7056.73,9903.78,11631.92,8249.03,11665.73
9500,11442.82,6916.73,9913.78,11821.92,8289.03,11615.73
9600,11272.82,7016.73,9893.78,11981.92,8329.03,11505.73
9700,11462.82,6966.73,9903.78,12021.92,8129.03,11515.73
9800,11442.52,6991.73,9913.78,12031.92,8244.03,11376.03
9900,11631.85,7031.73,9893.78,12011.92,8104.70,11326.03
10000,11851.85,7071.73,9933.78,11751.92,8189.70,11201.03
10100,11859.47,7081.73,9913.78,11821.92,8262.08,11061.03
10200,11659.47,7181.73,9773.78,12041.92,8212.08,11131.03
10300,11519.47,7131.73,9813.78,12171.92,8342.08,11021.03
10400,11647.47,7141.73,9793.78,12061.92,8474.08,10881.03
10500,11649.50,7121.73,9792.30,11986.38,8439.08,11011.03
10600,11629.50,7131.73,9862.30,11996.38,8419.08,10961.03
10700,11701.12,7080.11,9842.30,11916.38,8549.08,10911.03
10800,11766.85,7124.38,9942.30,11896.38,8529.08,10741.03
10900,11740.20,7220.67,9922.30,11939.70,8479.08,10698.05
11000,11702.53,7170.97,10007.30,11832.08,8459.08,10828.05
11100,11742.23,7120.97,9957.59,11842.08,8469.08,10868.05
11200,11932.23,6950.97,9997.59,11852.08,8479.08,10788.05
11300,11882.23,6780.97,10067.59,11892.08,8369.08,11008.05
11400,11922.12,6730.97,10107.59,12022.08,8169.08,11048.16
11500,11692.12,6830.97,10087.59,12002.08,8149.08,11238.16
11600,11702.12,6930.97,10037.59,11952.08,8189.08,11188.16
11700,11562.12,6940.97,10137.59,11902.08,8349.08,11108.16
11800,11692.01,6860.97,10087.59,12032.08,8299.08,11028.27
11900,11672.01,6900.97,10007.59,12192.08,8429.08,10798.27
12000,11862.01,7060.97,9837.59,12172.08,8289.08,10778.27
12100,11837.55,7070.97,9757.59,12092.08,8419.08,10822.73
12200,11755.18,7080.97,9887.59,11952.08,8579.08,10745.10
12300,11705.18,7030.97,9837.59,11992.08,8679.08,10755.10
12400,11625.18,7040.97,9877.59,11822.08,8629.08,11005.10
12500,11635.18,7080.97,9827.59,11892.08,8579.08,10985.10
12600,11405.18,7150.97,9807.59,11932.08,8619.08,11085.10
12700,11445.18,7400.97,9757.59,11732.08,8719.08,10945.10
12800,11395.18,7260.97,9812.59,11802.08,8699.08,11030.10
12900,11285.18,7360.97,9762.59,11842.08,8499.08,11250.10
13000,11295.18,7220.97,9712.59,11792.08,8539.08,11440.10
13100,11389.10,7352.78,9632.59,11806.35,8339.08,11480.10
13200,11189.10,7542.78,9582.59,11846.35,8379.08,11460.10
13300,11289.10,7582.78,9562.59,11796.35,8359.08,11410.10
13400,11269.10,7562.78,9482.59,11746.35,8609.08,11330.10
13500,11189.10,7602.78,9492.59,11726.35,8619.08,11370.10
13600,11019.10,7522.78,9712.59,11766.35,8659.08,11320.10
13700,11058.42,7442.78,9543.27,11776.35,8759.08,11420.10
13800,10978.42,7572.78,9463.27,11816.35,8859.08,11310.10
13900,10718.42,7492.78,9443.27,12036.35,9019.08,11290.10
14000,10878.42,7592.78,9513.27,12076.35,8909.08,11030.10
14100,10825.66,7302.78,9523.27,12116.35,8769.08,11462.86
14200,10925.66,7192.78,9473.27,12066.35,8779.08,11562.86
14300,10993.85,7292.78,9485.08,12016.35,8759.08,11452.86
14400,11085.02,7212.78,9465.08,12031.29,8949.08,11256.75
14500,11121.13,7282.78,9385.08,11955.18,9019.08,11236.75
14600,11071.13,7232.78,9305.08,12025.18,9119.08,11246.75
14700,11291.13,7152.78,9405.08,12005.18,9099.08,11046.75
14800,11178.37,7252.78,9415.08,12075.18,9139.08,10939.51
14900,11335.61,7235.54,9335.08,11995.18,9209.08,10889.51
15000,11375.61,7095.54,9435.08,12155.18,9159.08,10779.51
15100,11232.86,7225.54,9565.08,12075.18,9079.08,10822.27
15200,11212.86,7265.54,9350.08,12040.18,9239.08,10892.27
15300,10226.99,7185.54,9000.08,11990.18,10394.08,11203.13
15400,10296.99,7135.54,8980.08,12000.18,10404.08,11183.13
15500,10362.91,7145.54,9080.08,11804.26,10504.08,11103.13
15600,10522.91,7215.54,9090.08,11814.26,10334.08,11023.13
15700,10652.91,7165.54,9040.08,11869.26,10254.08,11018.13
15800,10571.29,7205.54,9021.70,11849.26,10204.08,11148.13
15900,10521.29,7245.54,9091.70,11799.26,10094.08,11248.13
16000,10561.29,7255.54,9071.70,11929.26,9894.08,11288.13
16100,10631.29,7115.54,9021.70,11789.26,9994.08,11448.13
16200,10611.29,7185.54,8926.70,11934.26,9974.08,11368.13
16300,10861.29,7015.54,9176.70,11854.26,9924.08,11168.13
16400,10869.67,6995.54,9068.32,11804.26,10054.08,11208.13
16500,10849.67,6765.54,9228.32,11964.26,10094.08,11098.13
16600,11009.67,6655.54,9298.32,11854.26,10044.08,11138.13
16700,10959.67,6530.54,9233.32,11894.26,10204.08,11178.13
16800,11057.67,6542.54,9333.32,11904.26,10064.08,11098.13
16900,11007.67,6432.54,9253.32,12034.26,10254.08,11018.13
17000,11016.80,6472.54,9233.32,12044.26,10384.94,10848.13
17100,11146.80,6362.54,9573.32,11844.26,10274.94,10798.13
17200,10976.80,6522.54,9583.32,11884.26,10224.94,10808.13
17300,10956.80,6562.54,9533.32,11774.26,10144.94,11028.13
17400,10816.80,6572.54,9663.32,11724.26,10184.94,11038.13
17500,10766.80,6732.54,9403.32,11644.26,10254.94,11198.13
17600,10686.80,6712.54,9263.32,11714.26,10324.94,11298.13
17700,10666.80,6572.54,9033.32,11994.26,10334.94,11398.13
17800,10586.80,6552.54,8863.32,12244.26,10344.94,11408.13
17900,10746.80,6592.54,8813.32,12224.26,10234.94,11388.13
18000,10784.62,6602.54,8703.32,12294.26,10127.13,11488.13
18100,10644.62,6552.54,8803.32,12184.26,10137.13,11678.13
18200,10714.62,6622.54,8693.32,12254.26,10207.13,11508.13
18300,10784.62,6692.54,8553.32,12234.26,10037.13,11698.13
18400,10843.89,6586.81,8535.70,12274.26,10021.21,11738.13
18500,10883.89,6656.81,8515.70,12104.26,9971.21,11868.13
18600,10953.89,6816.81,8495.70,11964.26,10131.21,11638.13
18700,10797.64,6973.29,8520.70,11974.56,10081.21,11652.59
18800,10777.64,6983.29,8560.70,11834.56,10121.21,11722.59
18900,10847.64,7038.29,8510.70,11844.56,10071.21,11687.59
19000,10767.64,7198.29,8490.70,11854.56,10171.21,11517.59
19100,10867.64,7418.29,8590.70,11804.56,9971.21,11347.59
19200,10937.64,7278.29,8780.70,11784.56,9756.21,11462.59
19300,10827.64,7318.29,8850.70,11809.56,9826.21,11367.59
19400,10897.64,7178.29,8920.70,11609.56,9866.21,11527.59
19500,10964.32,7308.29,9054.02,11559.56,9636.21,11477.59
19600,10914.32,7228.29,9064.02,11659.56,9616.21,11517.59
19700,10954.32,7178.29,9224.02,11609.56,9626.21,11407.59
19800,10904.32,7203.29,9204.02,11739.56,9591.21,11357.59
19900,11096.40,7359.21,9184.02,11571.56,9391.21,11397.59
20000,11016.40,7249.21,9194.02,11551.56,9701.21,11287.59
20100,10966.40,7169.21,9234.02,11531.56,9621.21,11477.59
20200,11004.97,7119.21,9185.45,11451.56,9661.21,11577.59
20300,11104.97,7099.21,9075.45,11431.56,9581.21,11707.59
20400,11004.46,7139.21,9160.45,11351.56,9683.02,11661.29
20500,10909.46,7269.21,9020.45,11421.56,9873.02,11506.29
20600,10889.46,7279.21,9240.45,11431.56,9703.02,11456.29
20700,10959.46,7469.21,9160.45,11261.56,9713.02,11436.29
20800,11116.32,7539.21,9050.45,11184.70,9663.02,11446.29
20900,11064.13,7549.21,9060.45,11164.70,9705.21,11456.29
21000,11134.13,7559.21,8950.45,11204.70,9655.21,11496.29
21100,11174.13,7539.21,8750.45,11124.70,9785.21,11626.29
21200,11199.13,7579.21,8670.45,11029.70,9795.21,11726.29
21300,11179.13,7559.21,8740.45,11039.70,9895.21,11586.29
21400,11102.27,7671.08,8750.45,11034.70,9965.21,11476.29
21500,10992.27,7651.08,8970.45,11104.70,9855.21,11426.29
21600,10942.27,7541.08,8950.45,11144.70,10015.21,11406.29
21700,10892.27,7641.08,8990.45,11094.70,9875.21,11506.29
21800,10692.27,7621.08,9000.45,11134.70,9855.21,11696.29
21900,10852.27,7631.08,8860.45,11054.70,9985.21,11616.29
22000,10622.27,7731.08,8780.45,11244.70,10115.21,11506.29
22100,10662.27,7981.08,9000.45,11044.70,9885.21,11426.29
22200,10462.27,8081.08,9340.45,10934.70,9925.21,11256.29
22300,10382.27,8181.08,9350.45,10974.70,9875.21,11236.29
22400,10482.27,8161.08,9360.45,10924.70,9825.21,11246.29
22500,10609.51,7991.08,9313.21,11144.70,9745.21,11196.29
22600,10679.51,7791.08,9443.21,11004.70,9995.21,11086.29
22700,10747.13,7923.46,9393.21,10894.70,9975.21,11066.29
22800,10637.13,8023.46,9493.21,10694.70,10105.21,11046.29
22900,10707.13,8213.46,9248.21,10734.70,9845.21,11251.29
23000,10597.13,8163.46,9348.21,10714.70,9945.21,11231.29
23100,10487.13,8353.46,9298.21,10574.70,10075.21,11211.29
23200,10317.13,8213.46,9128.21,10734.70,10235.21,11371.29
23300,10177.13,8373.46,9018.21,10684.70,10425.21,11321.29
23400,10367.13,8383.46,8998.21,10574.70,10465.21,11211.29
23500,10497.13,8213.46,9068.21,10524.70,10625.21,11071.29
23600,10601.49,8159.10,9018.21,10474.70,10635.21,11111.29
23700,10521.38,8019.10,8998.21,10544.70,10765.21,11151.40
23800,10711.38,7789.10,9068.21,10614.70,10835.21,10981.40
23900,10781.38,7679.10,9258.21,10474.70,10845.21,10961.40
24000,10761.38,7629.10,9298.21,10394.70,10855.21,11061.40
24100,10771.38,7639.10,9398.21,10434.70,10715.21,11041.40
24200,10781.38,7649.10,9288.21,10354.70,10755.21,11171.40
24300,10641.38,7809.10,9298.21,10334.70,10735.21,11181.40
24400,10711.38,7819.10,9308.21,10134.70,10745.21,11281.40
24500,10691.38,8009.10,9198.21,9844.70,10815.21,11441.40
24600,10611.38,7989.10,9268.21,9794.70,10915.21,11421.40
24700,10531.38,8089.10,9398.21,9654.70,10955.21,11371.40
24800,10661.38,7919.10,9348.21,9664.70,11085.21,11321.40
24900,10731.38,8169.10,9328.21,9644.70,11005.21,11121.40
25000,10591.38,8419.10,9428.21,9684.70,10835.21,11041.40
25100,10721.38,8369.10,9378.21,9709.70,10860.21,10961.40
25200,10641.38,8409.10,9268.21,9719.70,10900.21,11061.40
25300,10709.19,8539.10,9218.21,9701.89,10730.21,11101.40
25400,10749.19,8414.10,9108.21,9696.89,10770.21,11261.40
25500,10879.19,8424.10,8908.21,9736.89,10780.21,11271.40
25600,10856.14,8434.10,8860.21,9596.89,10940.21,11312.45
25700,10926.14,8234.10,8960.21,9756.89,10980.21,11142.45
25800,10936.14,8184.10,9090.21,9766.89,10990.21,11032.45
25900,10827.76,8312.48,9430.21,9596.89,10910.21,10922.45
26000,10687.76,8292.48,9380.21,9756.89,10980.21,10902.45
26100,10697.76,8302.48,9270.21,9916.89,10990.21,10822.45
26200,10647.76,8192.48,9280.21,9866.89,11060.21,10952.45
26300,10477.76,8412.48,9170.21,9786.89,10950.21,11202.45
26400,10397.76,8422.48,9240.21,9856.89,11080.21,11002.45
26500,10317.76,8462.48,9250.21,9806.89,11210.21,10952.45
26600,10327.76,8472.48,9410.21,9786.89,11040.21,10962.45
26700,10352.76,8812.48,9270.21,9706.89,11005.21,10852.45
26800,10272.76,8732.48,9250.21,9956.89,10985.21,10802.45
26900,10460.01,8712.48,9050.21,10029.64,10965.21,10782.45
27000,10530.01,8722.48,8970.21,10099.64,10915.21,10762.45
27100,10630.01,8702.48,8980.21,10139.64,10745.21,10802.45
27200,10700.01,8532.48,9050.21,10089.64,10755.21,10872.45
27300,10680.01,8782.48,8820.21,9859.64,10975.21,10882.45
27400,10510.01,8642.48,9100.21,9719.64,11045.21,10982.45
27500,11017.57,8446.94,8840.21,9849.64,11003.18,10842.45
27600,11169.41,8431.21,8674.10,9679.64,11193.18,10852.45
27700,11273.30,8527.31,8534.10,9719.64,11173.18,10772.45
27800,11298.30,8732.31,8424.10,9609.64,11123.18,10812.45
27900,11428.30,9012.31,8344.10,9439.64,11103.18,10672.45
28000,11423.30,9022.31,8324.10,9464.64,11113.18,10652.45
28100,11493.30,9182.31,8244.10,9444.64,10973.18,10662.45
28200,11500.93,9072.31,8406.48,9454.64,10923.18,10642.45
28300,11450.93,9187.31,8341.48,9494.64,10963.18,10562.45
28400,11340.93,9257.31,8231.48,9534.64,11093.18,10542.45
28500,11440.93,9387.31,8241.48,9454.64,11043.18,10432.45
28600,11330.93,9427.31,8281.48,9704.64,10993.18,10262.45
28700,11340.93,9407.31,8201.48,9774.64,10913.18,10362.45
28800,11380.93,9387.31,8181.48,9904.64,10833.18,10312.45
28900,11390.93,9427.31,8131.48,9929.64,10828.18,10292.45
29000,11310.93,9407.31,8171.48,9999.64,10808.18,10302.45
29100,11290.93,9537.31,8151.48,9919.64,10848.18,10252.45
29200,11150.93,9727.31,8161.48,9959.64,10738.18,10262.45
29300,11280.93,9557.31,8141.48,10089.64,10718.18,10212.45
29400,11170.93,9597.31,8091.48,10219.64,10728.18,10192.45
29500,11210.93,9667.31,8146.48,10169.64,10618.18,10187.45
29600,11160.93,9617.31,8036.48,10179.64,10598.18,10407.45
29700,11110.93,9447.31,8016.48,10219.64,10698.18,10507.45
29800,11210.93,9187.31,7996.48,10289.64,10708.18,10607.45
29900,11370.93,9137.31,7826.48,10419.64,10628.18,10617.45
30000,11440.93,9147.31,7746.48,10189.64,10698.18,10777.45
30100,11480.93,9037.31,7816.48,10199.64,10738.18,10727.45
30200,11518.93,9137.31,7586.48,10089.64,10628.18,11039.45
30300,11468.93,9057.31,7596.48,10279.64,10458.18,11139.45
30400,11538.93,8947.31,7546.48,10409.64,10708.18,10849.45
30500,11638.93,9047.31,7556.48,10329.64,10598.18,10829.45
30600,11556.63,9072.61,7688.48,10354.64,10548.18,10779.45
30700,11731.63,8992.61,7668.48,10334.64,10528.18,10744.45
30800,11795.55,9035.18,7708.48,10348.15,10538.18,10574.45
30900,11835.55,9285.18,7508.48,10388.15,10518.18,10464.45
31000,11785.55,9175.18,7548.48,10278.15,10468.18,10744.45
31100,11855.55,9215.18,7408.48,10228.15,10478.18,10814.45
31200,11955.55,9105.18,7358.48,10238.15,10518.18,10824.45
31300,11875.44,9085.18,7428.48,10248.26,10708.18,10654.45
31400,12035.44,9215.18,7378.48,10228.26,10658.18,10484.45
31500,12069.34,9195.18,7570.67,10209.51,10699.99,10255.32
31600,12111.52,9142.99,7610.67,10279.51,10739.99,10115.32
31700,12174.88,9157.07,7650.67,10382.07,10659.99,9975.32
31800,12034.88,9107.07,7840.67,10482.07,10519.99,10015.32
31900,11984.88,9087.07,7970.67,10492.07,10649.99,9815.32
32000,11874.88,8902.07,7995.67,10682.07,10689.99,9855.32
32100,11852.69,8822.07,8185.67,10604.26,10789.99,9745.32
32200,11742.69,8712.07,8210.67,10869.26,10919.99,9545.32
32300,11902.69,8602.07,8190.67,10759.26,11139.99,9405.32
32400,11882.69,8582.07,8230.67,10739.26,10999.99,9565.32
32500,11622.69,8562.07,8270.67,10809.26,11099.99,9635.32
32600,11572.69,8842.07,8385.67,10819.26,10959.99,9420.32
32700,11580.20,8672.07,8336.91,10889.26,11211.24,9310.32
32800,11560.20,8652.07,8316.91,10779.26,11191.24,9500.32
32900,11569.83,8722.07,8297.29,10834.26,11096.24,9480.32
33000,11489.83,9032.07,8187.29,10784.26,11046.24,9460.32
33100,11649.83,8952.07,8527.29,10674.26,10786.24,9410.32
33200,11599.83,8932.07,8447.29,10504.26,10946.24,9570.32
33300,11608.96,8882.07,8277.29,10424.26,10957.10,9850.32
